scheme_id,scheme_name,education_level,education_stream,level,state,department,category,gender,caste_category,min_age,max_age,max_income,min_marks,description,benefits,eligibility_criteria,income_missing
SCH0014,National Scholarship Portal - Post Matric SC,Diploma,Engineering & Technology,Central,All India,Ministry of Social Justice & Empowerment,Education,All,SC,15,30,250000.0,0,Scholarship for SC students studying post-matriculation courses.,Full tuition fee + maintenance allowance.,Education level: Post-Matric,0
SCH0015,National Scholarship Portal - Post Matric ST,Diploma,Engineering & Technology,Central,All India,Ministry of Tribal Affairs,Education,All,ST,15,30,250000.0,0,Scholarship for ST students studying post-matriculation courses.,Full tuition fee + maintenance allowance.,Education level: Post-Matric,0
SCH0016,National Scholarship Portal - Post Matric OBC,Diploma,Engineering & Technology,Central,All India,Ministry of Social Justice & Empowerment,Education,All,OBC,15,30,150000.0,0,Scholarship for OBC students studying post-matriculation courses.,Tuition fee reimbursement + maintenance allowance.,Education level: Post-Matric,0
SCH0023,National Means-cum-Merit Scholarship,School,All,Central,All India,Ministry of Education,Education,All,All,13,18,150000.0,55,Scholarship for meritorious students of economically weaker sections.,"Rs 12,000/year (classes 9-12).",See official scheme description/eligibility details.,0
SCH0027,Rajarshi Chhatrapati Shahu Maharaj Scholarship,Diploma,Engineering & Technology,State,Maharashtra,Higher & Technical Education,Education,All,SC,17,35,800000.0,75,Tuition and exam fee waiver for professional courses.,Full tuition & exam fee reimbursement.,See official scheme description/eligibility details.,0
SCH0031,Vidyasiri Scholarship,School,All,State,Karnataka,Backward Classes Welfare,Education,All,OBC,17,30,250000.0,40,Hostel/scholarship support for backward class students.,Monthly maintenance allowance + hostel facility.,See official scheme description/eligibility details.,0
SCH0034,Mukhyamantri Yuva Swavalamban Yojana,Postgraduate,Engineering & Technology,State,Gujarat,Education,Education,All,All,17,30,600000.0,0,Tuition fee assistance for higher education.,"Tuition fee assistance up to Rs 50,000/year.","Education level: UG; Course: Management/Commerce, All/General",0
SCH0036,Moovalur Ramamirtham Ammaiyar Higher Education Scheme,School,Education,State,Tamil Nadu,Social Welfare,Education,Female,All,17,30,250000.0,0,Financial assistance for girl students pursuing higher education.,"Rs 1,000-5,000/month stipend.",Education level: UG,0
SCH0037,Pudhumai Penn Scheme,School,Education,State,Tamil Nadu,School Education,Education,Female,All,17,22,250000.0,0,Monthly assistance for girls from government schools joining higher education.,"Rs 1,000/month for the duration of the course.",Education level: UG; Institution: Government/Approved Institution,0
SCH0043,Sikshashree Scheme,School,All,State,West Bengal,Backward Classes Welfare,Education,All,SC,6,18,250000.0,0,Financial assistance for SC students in classes 5-8.,Annual scholarship of Rs 800.,See official scheme description/eligibility details.,0
SCH0045,Kalibai Bhil Medhavi Chatra Scooty Yojana,School,All,State,Rajasthan,Higher Education,Education,Female,All,16,24,800000.0,65,Scooty for meritorious girl students in government colleges.,"Free electric scooty or Rs 30,000 cash equivalent.",Institution: Government/Approved Institution,0
SCH0049,Mukhyamantri Medhavi Vidyarthi Yojana,Diploma,Engineering & Technology,State,Madhya Pradesh,Higher Education,Education,All,All,17,30,600000.0,0,Tuition fee reimbursement for meritorious students in professional courses.,Full tuition fee up to Rs 1.5 lakh/year.,See official scheme description/eligibility details.,0
SCH0051,Mukhyamantri Vidyarthi Cycle Yojana,School,All,State,Bihar,Education,Education,All,All,13,18,250000.0,0,Bicycle assistance for students in class 9 to improve school access.,"Rs 3,000 cash assistance to buy a bicycle.",See official scheme description/eligibility details.,0
SCH0052,Bihar Student Credit Card Scheme,School,Education,State,Bihar,Education,Education,All,All,17,30,250000.0,4,Collateral-free education loan for higher studies.,Loan up to Rs 4 lakh at 4% interest.,Minimum marks mentioned: 4.0%,1
SCH0069,Amma Vodi,School,All,State,Andhra Pradesh,School Education,Education,Female,All,25,99,100000.0,0,Financial assistance to mothers/guardians to send children to school.,"Rs 15,000/year per child.",See official scheme description/eligibility details.,0
SCH0076,Assam Nijut Moina Scholarship,Postgraduate,Education,State,Assam,Education,Education,Female,All,13,24,250000.0,0,Scholarship for girl students from class 9 to postgraduate level.,"Rs 1,000-2,500/month based on class.",Education level: PG,0
SCH0084,Chhattisgarh Medhavi Chhatra Yojana,Diploma,Engineering & Technology,State,Chhattisgarh,Higher Education,Education,All,All,17,30,250000.0,0,Fee waiver for meritorious economically weak students.,Full tuition fee waiver.,See official scheme description/eligibility details.,0
SCH0095,Chief Minister Elite Athletes Scheme,All,All,State,Manipur,Youth Affairs & Sports,Education,All,All,14,30,250000.0,0,Financial support and training for elite athletes.,Monthly stipend + training support.,See official scheme description/eligibility details.,1
SCH0107,Arunachal Pradesh Chief Minister's Nyokum Yollo Scholarship,Diploma,Engineering & Technology,State,Arunachal Pradesh,Education,Education,All,ST,13,24,200000.0,0,Scholarship support for tribal students.,Annual scholarship amount for tuition/hostel fees.,See official scheme description/eligibility details.,0
SCH0117,AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,School,Engineering & Technology,Central,All India,Ministry of Micro,Education & Learning,All,All,5,99,250000.0,0,"Short Term Training Programme-SFURTI Program, launched by the All India Council for Technical Education (AICTE), aims to provide financial assistance to the institutions for conducting faculty and student trainings to enable faculty members and students in the field of technical education and to introspect and learn techniques that can help prepare faculty and students to impart their research work in the development of small-scale business for the nation. All India Council For Technical...","Financial Assistance : Limit of funding ₹ 4,00,000/- to the institution. Disbursement of the Fund: The full amount of the grant sanctioned shall be released after successful conduct of the program to Indian Micro Enterprises Development Foundation (IMEDF). The amount spent by the institute on the conduct of STTP-SFURTI shall be adjusted on the basis of utilization certificate and detailed expenditure statement submitted by the IMEDF on the prescribed format along with other mandatory documents viz feedback form, copy of proceedings and completion report etc","Course: Engineering/Technology, Management/Commerce, Research, All/General",1
SCH0126,Pre-Matric Scholarship for Backward Class Students,Diploma,Engineering & Technology,State,Madhya Pradesh,All,Education & Learning,All,OBC,5,99,250000.0,0,"The scheme ""Pre-Matric Scholarship for Backward Class Students"" by the Backward Classes and Minorities Welfare Department, Government of Madhya Pradesh aims to provide financial assistance to backward class students studying at the pre-matriculation level in India. Through this scheme, monthly scholarships of varying amounts are provided to eligible students to help them complete their education. The applications for this scheme are processed through educational institutions. The scheme is...","Classes 6th to 8th Boys: ₹20/- per month Girls: ₹30/- per month Classes 9th to 10th Boys: ₹30/- per month Girls: ₹40/- per month NOTE: The scheme is individual in nature, covering all of Madhya Pradesh. Scholarships are awarded for 10 months annually and paid in one installment on 30th September.",Education level: 9th-10th,1
SCH0127,Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,Postgraduate,Engineering & Technology,State,Chhattisgarh,All,Education & Learning,All,All,5,99,250000.0,0,"Labor Department of Chhattisgarh State started this scheme ""Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana"" for unorganized worker on 11 March 2015. The main objective of the scheme to provide financial assistance for free coaching.","The fee for special coaching for admission in engineering, medical, CA and MBA or other professional education to the son/daughter (two children) studying in class 10th and above will be paid by the board.","Education level: PG; Course: Engineering/Technology, Medical/Health, Management/Commerce, All/General",1
SCH0195,"""SUPER 30"" Scheme",Senior Secondary,Medical & Health,State,Tripura,All,Education & Learning,All,SC/ST,5,99,250000.0,5,"The scheme ""Super 30"" was launched by the Directorate of Secondary Education, Government of Tripura. The scheme aims to provide free coaching for JEE/ NEET to the students who are appearing in the class 10th Board Final Examination and want to pursue Science Stream in Class 11th & 12th with the aspiration to crack the JEE / NEET exam.","The scheme covers the coaching fees (capped at ₹1,00,000/-) & the accommodation fees of ₹1,40,000/- per annum (with 5% extra in 2nd year), for attaining a two-year coaching programme for JEE/ NEET at a nationally reputed Coaching Institution outside Tripura.","Education level: 11th-12th; Course: Medical/Health, Science, All/General; Minimum marks mentioned: 5.0%",1
